N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF,mc,total_sum,min_gap,2.0,51285.99299999998,0.11574583053588863,0.205101203918457,0.0,5.342964755211935e-16,0.0,0.6166774217530543,0.38332257824694593,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397676,0.7843267977460231,27130.0,15.0,24830.0,
50,15,DD_DF,tp,consecutive_sum,min_gap,3.0,54461.570999999996,0.18068938255310055,0.45227999687194825,0.0,0.05614140524431542,0.0,0.4945367191090389,0.5054632808909614,0.48011453700411516,0.5198854629958848,4.899999999999997,339.19999999999993,0.2994905330918804,0.7005094669081193,41596.0,15.0,18826.0,
50,15,DD_DF,mc,total_sum,min_gap,3.0,54461.570999999974,0.17977409362792965,0.26980910301208494,0.0,6.145774336332883e-16,0.0,0.494597806904975,0.5054021930950255,0.4800567694429567,0.5199432305570433,4.9,339.3,0.29983177084944646,0.7001682291505532,27130.0,15.0,24829.0,
50,15,DD_DF,mc,consecutive_sum,min_gap,2.0,51285.99299999998,0.12766461372375484,0.22465472221374508,0.0,0.0007660667690177425,0.0,0.6166774217530543,0.38332257824694593,0.4962224417335136,0.5037775582664864,6.5,367.6,0.21567320225397676,0.7843267977460231,27161.0,15.0,24892.0,
50,15,DD_DF,mc,consecutive_sum,min_gap,3.0,54461.57099999998,0.18579940795898434,0.47441294193267824,0.0,0.05614140524431509,0.0,0.49459780690497473,0.5054021930950258,0.4800567694429566,0.5199432305570434,4.899999999999997,339.2999999999999,0.29983177084944673,0.7001682291505531,27161.0,15.0,24892.0,
50,15,DD_SF,spc,total_sum,min_gap,2.0,54610.547999999995,0.13734347820281978,0.34670319557189944,0.0,7.425959732635133e-06,0.0,0.6069483646574172,0.3930516353425829,0.5345985366981075,0.4654014633018925,6.0,359.7,0.231269291056062,0.768730708943938,34765.0,15.0,7514.0,
50,15,DD_SF,spc,total_sum,min_gap,3.0,55811.070999999996,0.14456372261047362,0.29681150913238524,0.0,1.0577479527563619e-16,0.0,0.5248381079964575,0.4751618920035424,0.5152997292609133,0.4847002707390867,5.0,338.0,0.2732360353688484,0.7267639646311517,34765.0,15.0,7513.0,
50,15,DD_SF,spc,consecutive_sum,min_gap,2.0,54610.547999999995,0.1526595830917358,0.3491754293441772,0.0,0.0006180791186970979,0.0,0.6069483646574172,0.3930516353425829,0.5345985366981075,0.4654014633018925,6.0,359.7,0.231269291056062,0.768730708943938,34796.0,15.0,7576.0,
50,15,DD_SF,spc,consecutive_sum,min_gap,3.0,55811.070999999996,0.15351741313934325,0.3277256488800049,0.0,0.02360689879304398,0.0,0.5248381079964576,0.4751618920035424,0.5152997292609133,0.4847002707390867,5.0,338.0,0.2732360353688484,0.7267639646311517,34796.0,15.0,7576.0,
50,15,DD_SF,tpc,total_sum,min_gap,3.0,55811.070999999996,0.14608597755432123,0.23464510440826417,0.0,1.066710302913774e-16,0.0,0.5248602504250386,0.4751397495749615,0.5152764565422234,0.48472354345777646,5.0,338.0,0.273329730529896,0.7266702694701038,35445.0,15.0,12763.0,
50,15,DD_SF,tpc,total_sum,min_gap,2.0,54610.547999999995,0.15433287620544428,0.26581387519836425,0.0,7.425959732636279e-06,0.0,0.6069646707485534,0.39303532925144663,0.5345853429636163,0.4654146570363836,6.0,359.7,0.23152821125548737,0.7684717887445123,35445.0,15.0,12764.0,
50,15,DD_SF,tpc,consecutive_sum,min_gap,2.0,54610.547999999995,0.1689001083374023,0.3128798007965088,0.0,0.0006180791186971055,0.0,0.6069481237648411,0.393051876235159,0.5345972679499036,0.46540273205009636,6.0,359.7,0.2312485831793732,0.7687514168206265,35476.0,15.0,12826.0,
50,15,DD_SF,tpc,consecutive_sum,min_gap,3.0,55811.070999999996,0.18506748676300047,0.3331851243972778,0.0,0.02360806089846128,0.0,0.5248602504250386,0.4751397495749615,0.5152764565422234,0.48472354345777646,5.0,338.0,0.273329730529896,0.7266702694701038,35476.0,15.0,12826.0,
50,15,DD_SF,sp,total_sum,min_gap,3.0,55811.070999999996,0.17907812595367428,0.3387599945068359,0.0,6.357507052338444e-17,0.0,0.5248962140115276,0.47510378598847225,0.5152418126986001,0.48475818730139986,5.0,338.1,0.2734535938717613,0.7265464061282386,41565.0,15.0,13753.0,
50,15,DD_SF,sp,total_sum,min_gap,2.0,54610.547999999995,0.16823098659515376,0.40710718631744386,0.0,7.4259597326261816e-06,0.0,0.6069345129643962,0.39306548703560384,0.5346090906951808,0.46539090930481936,6.0,359.7,0.23126587923583317,0.7687341207641668,41565.0,15.0,13754.0,
50,15,DD_SF,sp,consecutive_sum,min_gap,2.0,54610.547999999995,0.16963517665863032,0.39159018993377687,0.0,0.0006180791186971314,0.0,0.6068457634277218,0.3931542365722782,0.5347025470774567,0.46529745292254326,6.0,359.5,0.23081687799377612,0.769183122006224,41596.0,15.0,13816.0,
50,15,DD_SF,sp,consecutive_sum,min_gap,3.0,55811.070999999996,0.18056867122650141,0.36451876163482666,0.0,0.023606898793043937,0.0,0.5247936127818322,0.47520638721816766,0.5153458230779492,0.4846541769220506,5.0,337.9,0.27300118080947544,0.7269988191905246,41596.0,15.0,13816.0,
50,15,DD_SF,tp,total_sum,min_gap,3.0,55811.070999999996,0.15591812133789057,0.2771446943283081,0.0,2.8957553899662225e-16,0.0,0.5248602504250386,0.47513974957496147,0.5152764565422234,0.48472354345777646,5.0,338.0,0.273329730529896,0.7266702694701037,41565.0,15.0,18763.0,
50,15,DD_SF,tp,total_sum,min_gap,2.0,54610.547999999995,0.1704501152038574,0.30219929218292235,0.0,7.425959732778501e-06,0.0,0.6069124010709281,0.3930875989290719,0.5346331805417307,0.4653668194582691,6.0,359.6,0.23114542771419674,0.768854572285803,41565.0,15.0,18764.0,
50,15,DD_SF,tp,consecutive_sum,min_gap,2.0,54610.547999999995,0.18772158622741694,0.3462198495864868,0.0,0.000618079118697059,0.0,0.6069568962855534,0.39304310371444673,0.5345870867246948,0.4654129132753052,6.0,359.7,0.2313802822735697,0.76861971772643,41596.0,15.0,18826.0,
50,15,DD_SF,tp,consecutive_sum,min_gap,3.0,55811.07100000001,0.20003809928894042,0.36225600242614747,0.0,0.023608060898461423,0.0,0.5249047456396635,0.47509525436033656,0.5152303627251873,0.48476963727481265,4.999999999999996,338.0999999999999,0.2735645850892693,0.7264354149107304,41596.0,15.0,18826.0,
50,15,DD_SF,mc,total_sum,min_gap,3.0,55811.070999999974,0.18459985256195066,0.26632866859436033,0.0,5.071095760598314e-16,0.0,0.524940468333577,0.4750595316664234,0.5151944501333603,0.4848055498666398,5.0,338.2,0.2736677405544454,0.7263322594455542,27130.0,15.0,24829.0,
50,15,DD_SF,mc,total_sum,min_gap,2.0,54610.54799999997,0.19251852035522457,0.305627179145813,0.0,7.425959733189712e-06,0.0,0.6069926189794667,0.39300738102053395,0.5345511741328677,0.4654488258671325,6.0,359.8,0.23148343773874616,0.7685165622612538,27130.0,15.0,24830.0,
50,15,DD_SF,mc,consecutive_sum,min_gap,2.0,54610.54799999997,0.19528729915618892,0.3095186471939087,0.0,0.0006180791186976074,0.0,0.6069926189794667,0.39300738102053395,0.5345511741328677,0.46544882586713243,6.0,359.8,0.23148343773874616,0.7685165622612538,27161.0,15.0,24892.0,
50,15,DD_SF,mc,consecutive_sum,min_gap,3.0,55811.070999999974,0.21596269607543944,0.3641901731491089,0.0,0.02360806089846169,0.0,0.524940468333577,0.4750595316664234,0.5151944501333603,0.4848055498666398,5.0,338.2,0.2736677405544454,0.7263322594455542,27161.0,15.0,24892.0,
50,15,SD_SF,spc,total_sum,min_gap,2.0,52128.295,0.1461257934570312,0.39478702545166017,0.0,0.00012886079341825054,0.3,0.6280604271271781,0.3719395728728219,0.5135901389569664,0.4864098610430336,6.6,369.0,0.17496849662896127,0.8250315033710385,34765.0,15.0,7514.0,
50,15,SD_SF,spc,total_sum,min_gap,3.0,53583.83099999999,0.15508353710174555,0.302911376953125,0.0,6.847242637555181e-17,0.0,0.5108196203363986,0.48918037966360134,0.4697176367971833,0.5302823632028165,5.0,341.1,0.2558071395874786,0.7441928604125214,34765.0,15.0,7513.0,
50,15,SD_SF,spc,consecutive_sum,min_gap,2.0,52128.295,0.15924899578094479,0.39866344928741454,0.0,0.00012886079341820343,0.6,0.6280208408982771,0.3719791591017229,0.513622629761884,0.4863773702381161,6.6,369.0,0.17507028889358606,0.8249297111064138,34796.0,15.0,7576.0,
50,15,SD_SF,spc,consecutive_sum,min_gap,3.0,53583.83099999999,0.16279811859130855,0.33525938987731935,0.0,0.028199678519359,0.0,0.5108196203363986,0.48918037966360134,0.4697176367971833,0.5302823632028165,5.0,341.1,0.2558071395874786,0.7441928604125214,34796.0,15.0,7576.0,
50,15,SD_SF,tpc,total_sum,min_gap,3.0,53583.831000000006,0.14871633052825922,0.2341081857681274,0.0,1.0721113413861847e-16,0.0,0.5107221979637628,0.4892778020362371,0.469802057582671,0.530197942417329,5.0,341.1,0.25578335698250226,0.7442166430174978,35445.0,15.0,12763.0,
