N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF02,spc,total_sum,min_gap,3,56222.82999999999,0.14794301986694336,0.3073129653930664,0.0,2.588257337520515e-16,0,0.5405455399523647,0.45945446004763585,0.5046559836793788,0.49534401632062125,5.0,345.0,0.2784936258871321,0.7215063741128674,34765,15,7513,
50,15,DD_DF10,spc,total_sum,min_gap,2,51860.21,0.11139702796936035,0.3170628547668457,0.0,0.0,0,0.5987249183911905,0.4012750816088094,0.4744605475040258,0.5255394524959742,6.0,362.0,0.2182582491959476,0.7817417508040526,34765,15,7514,
50,15,DD_DF03,spc,total_sum,min_gap,3,53835.14,0.1334071159362793,0.35020995140075684,0.0,0.0,0,0.49159340906329957,0.5084065909367005,0.4595881352730021,0.5404118647269979,5.0,344.0,0.31108719210058844,0.6889128078994112,34765,15,7513,
50,15,DD_DF01,spc,consecutive_sum,min_gap,2,49006.03,0.1368699073791504,0.35851216316223145,0.0,0.0,0,0.6390642131182632,0.3609357868817368,0.4812248547161377,0.5187751452838623,7.0,375.0,0.2115837659705462,0.7884162340294534,34796,15,7576,
50,15,DD_DF04,spc,total_sum,min_gap,3,53630.049999999996,0.13033819198608398,0.31179094314575195,0.0,1.3566941694410924e-16,0,0.5122687746888173,0.48773122531118285,0.5000545990608961,0.49994540093910383,5.0,333.0,0.24639628704307254,0.7536037129569275,34765,15,7513,
50,15,DD_DF02,spc,consecutive_sum,min_gap,2,52124.78999999999,0.11320090293884277,0.338519811630249,0.0,0.0,0,0.6507268422568226,0.34927315774317746,0.5043780771838793,0.4956219228161208,7.0,378.0,0.2014469023316209,0.7985530976683793,34796,15,7576,
50,15,DD_DF05,spc,total_sum,min_gap,3,55374.86,0.1553020477294922,0.2971229553222656,0.0,0.0,0,0.5043624489524668,0.4956375510475329,0.476207526227219,0.5237924737727809,5.0,348.0,0.2951082604079451,0.7048917395920552,34765,15,7513,
50,15,DD_DF03,spc,consecutive_sum,min_gap,2,49718.85,0.09703397750854492,0.28710007667541504,0.0,1.4634203353825413e-16,0,0.5636494005794583,0.4363505994205414,0.4456537253782472,0.5543462746217528,6.0,362.0,0.23793665316883977,0.7620633468311612,34796,15,7576,
50,15,DD_DF06,spc,total_sum,min_gap,3,58084.34,0.1614840030670166,0.29019999504089355,0.0,0.0,0,0.41503441375076316,0.5849655862492368,0.4497448873771104,0.5502551126228896,4.0,330.0,0.40182662915931633,0.5981733708406836,34765,15,7513,
50,15,DD_DF04,spc,consecutive_sum,min_gap,2,51823.86,0.14588212966918945,0.3237569332122803,0.0,0.0,0,0.6591751367034412,0.3408248632965589,0.5089429466350517,0.4910570533649483,7.0,381.0,0.1994580719090792,0.8005419280909207,34796,15,7576,
50,15,DD_DF07,spc,total_sum,min_gap,3,54346.630000000005,0.12401294708251953,0.2871549129486084,0.0,1.3388056654448354e-16,0,0.4983749682363009,0.5016250317636992,0.47849363116115934,0.5215063688388407,5.0,346.0,0.30968434389286326,0.6903156561071365,34765,15,7513,
50,15,DD_DF05,spc,consecutive_sum,min_gap,2,52208.17,0.13660788536071777,0.3253488540649414,0.0,0.0,0,0.6547251129468817,0.34527488705311815,0.49882979345854545,0.5011702065414546,7.0,387.0,0.21582510316944764,0.7841748968305529,34796,15,7576,
50,15,DD_DF08,spc,total_sum,min_gap,3,55585.91999999999,0.1456460952758789,0.34742188453674316,0.0,1.3089569470440406e-16,0,0.4645780802044835,0.5354219197955168,0.47517812887236677,0.5248218711276332,5.0,345.0,0.35568941788701797,0.6443105821129813,34765,15,7513,
50,15,DD_DF06,spc,consecutive_sum,min_gap,2,52284.02,0.10283398628234863,0.2956361770629883,0.0,1.3916216875028787e-16,0,0.599303573061138,0.40069642693886176,0.5016914533733324,0.4983085466266675,6.0,362.0,0.253054651021813,0.7469453489781878,34796,15,7576,
50,15,DD_DF09,spc,total_sum,min_gap,3,51747.5,0.11940407752990723,0.3036649227142334,0.0,0.0,0,0.5123919029904827,0.4876080970095173,0.5076749009994342,0.4923250990005657,5.0,326.0,0.22817794511047262,0.7718220548895274,34765,15,7513,
50,15,DD_DF07,spc,consecutive_sum,min_gap,2,53378.55,0.12577509880065918,0.35387182235717773,0.0,0.007653980617622286,0,0.5852725486173753,0.4147274513826244,0.5327614352933645,0.4672385647066355,6.0,348.0,0.2235342212665811,0.7764657787334193,34796,15,7576,
50,15,DD_DF10,spc,total_sum,min_gap,3,54020.60999999999,0.14533305168151855,0.29384303092956543,0.0,1.3468854968841386e-16,0,0.5014567588185325,0.49854324118146814,0.47362398021337077,0.5263760197866293,5.0,339.0,0.28828577274065653,0.7117142272593431,34765,15,7513,
