prefix,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
N50T15,DD_DF,mc,fix_y,fixed_intervals,4.0,58555.05399999997,0.04033296108245844,0.08058302402496331,0.0,6.47322047287139e-16,0.0,0.42086097487418817,0.5791390251258122,0.4682661711863193,0.5317338288136807,4.0,329.1,0.3839053255205158,0.616094674479484,27130.0,15.0,24827.0,
N50T15,DD_DF,mc,infinite_f,fixed_intervals,4.0,58555.05399999998,0.074647045135498,0.23456137180328365,0.0,4.945385547395572e-16,0.0,0.4207955843957561,0.5792044156042442,0.46834040535839583,0.5316595946416042,4.0,329.0,0.38364158561782297,0.6163584143821769,27130.0,15.0,24816.0,
N50T15,DD_DF,mc,infinite_f_new,fixed_intervals,4.0,58555.05399999999,0.07775599956512447,0.23643500804901119,0.0,4.945385547395572e-16,0.0,0.4207955843957561,0.5792044156042442,0.46834040535839583,0.5316595946416042,4.0,329.0,0.38364158561782297,0.6163584143821769,27130.0,15.0,24816.0,
N50T15,DD_DF,tp,fix_y,fixed_intervals,4.0,58555.05399999999,0.04420742988586421,0.08105006217956538,0.0,9.830552064405211e-17,0.0,0.42084611041820735,0.5791538895817927,0.46828235818758596,0.5317176418124141,4.0,329.1,0.3838649138053481,0.6161350861946522,41565.0,15.0,18761.0,
N50T15,DD_DF,tpc,fix_y,fixed_intervals,4.0,58555.05399999999,0.03862583637237544,0.07184748649597165,0.0,7.443953408127563e-17,0.0,0.42084611041820724,0.5791538895817928,0.46828235818758596,0.5317176418124141,4.0,329.1,0.38386491380534804,0.6161350861946518,35445.0,15.0,12761.0,
N50T15,DD_DF,tpc,infinite_f,fixed_intervals,4.0,58555.05399999999,0.08743002414703367,1.5650240659713746,0.0,8.790494507177189e-17,0.0,0.42081372857868005,0.57918627142132,0.4683194888182808,0.5316805111817192,4.0,329.0,0.38371258465428565,0.6162874153457143,35445.0,15.0,12750.0,
N50T15,DD_DF,tp,infinite_f,fixed_intervals,4.0,58555.05399999999,0.10762035846710201,1.580751085281372,0.0,4.8793826846099737e-17,0.0,0.4207548074397235,0.5792451925602766,0.4683830425732619,0.5316169574267381,4.0,328.9,0.38349468690220945,0.6165053130977907,41565.0,15.0,18750.0,
N50T15,DD_DF,tp,infinite_f_new,fixed_intervals,4.0,58555.054000000004,0.11459341049194334,1.5670189142227173,0.0,4.8793826846099737e-17,0.0,0.4207548074397235,0.5792451925602766,0.4683830425732619,0.5316169574267381,4.0,328.9,0.38349468690220945,0.6165053130977907,41565.0,15.0,18750.0,
N50T15,DD_DF,tpc,infinite_f_new,fixed_intervals,4.0,58555.054000000004,0.08709120750427245,1.4760748863220214,0.0,8.790494507177189e-17,0.0,0.42081372857868005,0.57918627142132,0.4683194888182808,0.5316805111817192,4.0,329.0,0.38371258465428565,0.6162874153457143,35445.0,15.0,12750.0,
N50T15,DD_DF,sp,fix_y,fixed_intervals,4.0,58555.05399999999,0.056139469146728474,0.1458441019058227,0.0,6.064786769879397e-17,0.0,0.42081372857868005,0.5791862714213198,0.4683194888182808,0.5316805111817192,4.0,329.0,0.3837125846542858,0.6162874153457143,41565.0,15.0,13751.0,
N50T15,DD_DF,sp,infinite_f,fixed_intervals,4.0,58555.05399999999,0.11946632862091064,0.3703540086746216,0.0,1.5069781352748602e-16,0.0,0.4207761412351796,0.5792238587648203,0.4683561751548999,0.5316438248451,4.0,328.9,0.38358094076799387,0.6164190592320062,41565.0,15.0,13740.0,
N50T15,DD_DF,sp,infinite_f_new,fixed_intervals,4.0,58555.054000000004,0.11680951118469234,0.3671702861785889,0.0,1.5069781352748602e-16,0.0,0.4207761412351796,0.5792238587648203,0.4683561751548999,0.5316438248451,4.0,328.9,0.38358094076799387,0.6164190592320062,41565.0,15.0,13740.0,
N50T15,DD_DF,spc,fix_y,fixed_intervals,4.0,58555.05399999999,0.033394384384155214,0.11655578613281245,0.0,1.1085134516964806e-16,0.0,0.420860974874188,0.579139025125812,0.4682661711863193,0.5317338288136807,4.0,329.1,0.3839053255205159,0.6160946744794843,34765.0,15.0,7511.0,
N50T15,DD_DF,spc,infinite_f,fixed_intervals,4.0,58555.054000000004,0.08251526355743402,0.5020296812057495,0.0,4.905403388660219e-17,0.0,0.420860974874188,0.579139025125812,0.4682661711863193,0.5317338288136807,4.0,329.1,0.38390532552051587,0.6160946744794842,34765.0,15.0,7500.0,
N75T15,DD_DF,mc,fix_y,fixed_intervals,4.0,82551.77099999998,0.06642403602600093,0.12710530757904048,0.0,4.536727385919704e-16,0.0,0.3802458516320955,0.6197541483679051,0.38276012142694865,0.6172398785730513,4.0,487.7,0.3686074493770823,0.6313925506229175,40680.0,15.0,37227.0,
N50T15,DD_DF,spc,infinite_f_new,fixed_intervals,4.0,58555.054000000004,0.0810986995697021,0.5124748945236206,0.0,4.905403388660219e-17,0.0,0.420860974874188,0.579139025125812,0.4682661711863193,0.5317338288136807,4.0,329.1,0.38390532552051587,0.6160946744794842,34765.0,15.0,7500.0,
N75T15,DD_DF,mc,infinite_f,fixed_intervals,4.0,82551.77099999998,0.12611925601959223,0.3818068027496338,0.0,6.148948426878578e-16,0.0,0.38011126556664354,0.619888734433357,0.3828951641871137,0.6171048358128863,4.0,487.4,0.36819706186759793,0.6318029381324018,40680.0,15.0,37216.0,
N75T15,DD_DF,mc,infinite_f_new,fixed_intervals,4.0,82551.771,0.12324533462524409,0.3782835006713867,0.0,6.148948426878578e-16,0.0,0.38011126556664354,0.619888734433357,0.3828951641871137,0.6171048358128863,4.0,487.4,0.36819706186759793,0.6318029381324018,40680.0,15.0,37216.0,
N75T15,DD_DF,tp,fix_y,fixed_intervals,4.0,82551.771,0.07356634140014645,0.13160629272460933,0.0,1.7486047602625978e-16,0.0,0.3802458516320954,0.6197541483679048,0.38276012142694865,0.6172398785730513,4.0,487.7,0.36860744937708223,0.6313925506229172,61940.0,15.0,28136.0,
N75T15,DD_DF,tp,infinite_f,fixed_intervals,4.0,82551.771,0.16066484451293944,2.400388503074646,0.0,1.0622967863291984e-16,0.0,0.38020888699187405,0.6197911130081263,0.3827933922910374,0.6172066077089626,4.0,487.6,0.36852272137773917,0.6314772786222602,61940.0,15.0,28125.0,
N75T15,DD_DF,tpc,fix_y,fixed_intervals,4.0,82551.771,0.06385540962219233,0.1167397260665893,0.0,1.2177470689696065e-16,0.0,0.3802458516320954,0.6197541483679048,0.38276012142694865,0.6172398785730513,4.0,487.7,0.36860744937708245,0.6313925506229177,52820.0,15.0,19136.0,
N75T15,DD_DF,tp,infinite_f_new,fixed_intervals,4.0,82551.77099999998,0.155579924583435,2.4043249130249023,0.0,1.0622967863291984e-16,0.0,0.38020888699187405,0.6197911130081263,0.3827933922910374,0.6172066077089626,4.0,487.6,0.36852272137773917,0.6314772786222602,61940.0,15.0,28125.0,
N75T15,DD_DF,tpc,infinite_f,fixed_intervals,4.0,82551.771,0.12600069046020504,2.4919798135757447,0.0,1.2456709819821507e-16,0.0,0.38011126556664343,0.6198887344333568,0.3828951641871137,0.6171048358128863,4.0,487.4,0.3681970618675981,0.6318029381324018,52820.0,15.0,19125.0,
N75T15,DD_DF,tpc,infinite_f_new,fixed_intervals,4.0,82551.77099999998,0.12993710041046141,2.3993488550186157,0.0,1.2456709819821507e-16,0.0,0.38011126556664343,0.6198887344333568,0.3828951641871137,0.6171048358128863,4.0,487.4,0.3681970618675981,0.6318029381324018,52820.0,15.0,19125.0,
N75T15,DD_DF,sp,fix_y,fixed_intervals,4.0,82551.771,0.09023799896240231,0.22578122615814208,0.0,8.72425255750799e-17,0.0,0.38019863193940584,0.6198013680605942,0.3828116920305024,0.6171883079694975,4.0,487.6,0.36838996413659625,0.6316100358634037,61940.0,15.0,20501.0,
N75T15,DD_DF,sp,infinite_f,fixed_intervals,4.0,82551.771,0.19132981300354,0.5877811908721924,0.0,3.709748220092804e-16,0.0,0.3801584852593329,0.6198415147406672,0.38284359358355996,0.6171564064164401,4.0,487.5,0.3684145471080843,0.6315854528919158,61940.0,15.0,20490.0,
N75T15,DD_DF,sp,infinite_f_new,fixed_intervals,4.0,82551.771,0.192507529258728,0.5528369903564453,0.0,3.709748220092804e-16,0.0,0.3801584852593329,0.6198415147406672,0.38284359358355996,0.6171564064164401,4.0,487.5,0.3684145471080843,0.6315854528919158,61940.0,15.0,20490.0,
N75T15,DD_DF,spc,fix_y,fixed_intervals,4.0,82551.771,0.05252027511596673,0.17292890548706052,0.0,8.670970434898017e-17,0.0,0.38019863193940584,0.6198013680605943,0.3828116920305024,0.6171883079694975,4.0,487.6,0.36838996413659614,0.6316100358634038,52140.0,15.0,11261.0,
N75T15,DD_DF,spc,infinite_f,fixed_intervals,4.0,82551.77100000002,0.12349059581756587,0.8435380458831787,0.0,1.5811952322426605e-16,0.0,0.38020888699187394,0.619791113008126,0.3827933922910374,0.6172066077089626,4.0,487.6,0.3685227213777392,0.6314772786222608,52140.0,15.0,11250.0,
N100T15,DD_DF,mc,fix_y,fixed_intervals,4.0,106373.64399999985,0.08866481781005857,0.17922194004058833,0.0,1.3199491686121415e-15,0.0,0.3619004218769229,0.6380995781230784,0.31413319904763887,0.685866800952361,4.0,654.7,0.3777503501842256,0.622249649815774,54230.0,15.0,49627.0,
N75T15,DD_DF,spc,infinite_f_new,fixed_intervals,4.0,82551.771,0.1263457298278808,0.8425693511962891,0.0,1.5811952322426605e-16,0.0,0.38020888699187394,0.619791113008126,0.3827933922910374,0.6172066077089626,4.0,487.6,0.3685227213777392,0.6314772786222608,52140.0,15.0,11250.0,
N100T15,DD_DF,mc,infinite_f,fixed_intervals,4.0,106373.64399999985,0.19260203838348383,0.5671264410018921,0.0,1.4875560081043982e-15,0.0,0.36188389858955244,0.6381161014104488,0.31414807499052744,0.6858519250094725,4.0,654.6,0.3775724200218967,0.6224275799781029,54230.0,15.0,49616.0,
N100T15,DD_DF,mc,infinite_f_new,fixed_intervals,4.0,106373.64400000001,0.1942219018936157,0.5593186855316162,0.0,1.4875560081043982e-15,0.0,0.36188389858955244,0.6381161014104488,0.31414807499052744,0.6858519250094725,4.0,654.6,0.3775724200218967,0.6224275799781029,54230.0,15.0,49616.0,
N100T15,DD_DF,tp,fix_y,fixed_intervals,4.0,106373.644,0.10211627483367917,0.18144483566284178,0.0,9.528306467583216e-17,0.0,0.36190042187692245,0.6380995781230775,0.31413319904763887,0.685866800952361,4.0,654.7,0.3777503501842257,0.6222496498157744,82315.0,15.0,37511.0,
N100T15,DD_DF,tp,infinite_f,fixed_intervals,4.0,106373.644,0.2370770931243896,3.3121190547943113,0.0,9.648867953967622e-17,0.0,0.36186462142095305,0.6381353785790467,0.31416544654698075,0.6858345534530191,4.0,654.5,0.3774974005674115,0.6225025994325886,82315.0,15.0,37500.0,
N100T15,DD_DF,tpc,fix_y,fixed_intervals,4.0,106373.644,0.08995368480682368,0.1565931558609009,0.0,1.0870396744140878e-16,0.0,0.36190042187692234,0.6380995781230776,0.31413319904763887,0.685866800952361,4.0,654.7,0.3777503501842256,0.6222496498157744,70195.0,15.0,25511.0,
