N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,Unnamed: 24
50,15,DD_DF,es,fix_y,fixed_intervals,5.0,66365.2869999999,0.0059715270996093,0.151500916481018,2.369885912155348e-05,0.2343320059427081,0.0,0.3100761331548934,0.6899238668451068,0.4219208404650832,0.5780791595349168,3.0,316.2,0.4927281007176287,0.5072718992823709,2346.0,765.0,1608.0,
50,15,DD_DF,ses,fix_y,fixed_intervals,3.0,54995.55699999999,0.0385981559753417,0.3563381671905518,0.0,0.0035425650471757,8.3,0.5292411607693374,0.4707588392306626,0.5128969834626504,0.4871030165373495,5.0,337.9,-1.860626736986141,0.7321135458550431,6885.0,765.0,6910.0,
50,15,DD_DF,ses,fix_y,fixed_intervals,5.0,66364.893,0.0397053956985473,0.2537060976028442,0.0,0.000365788602643,0.0,0.3100997532902485,0.6899002467097516,0.4218897106153168,0.5781102893846832,3.0,316.2,-0.9573392611271746,0.5072644448988316,6885.0,765.0,6912.0,
50,15,DD_DF,ses,fix_y,fixed_intervals,4.0,58555.05399999999,0.0378660440444945,0.2744473934173584,5.895486375414895e-06,0.0011144523877573,1.0,0.4208350623741362,0.5791649376258639,0.4682926213999187,0.5317073786000813,4.0,329.0,-1.3445409037983296,0.61620116147993,6885.0,765.0,6911.0,
75,15,DD_DF,tp,fix_y,fixed_intervals,3.0,74417.99299999999,0.0737502336502074,0.147400951385498,0.0,1.3500121492744395e-16,0.0,0.4776442478802054,0.5223557521197948,0.4110248312925124,0.5889751687074875,5.0,509.4,0.2704061677207123,0.7295938322792872,61940.0,15.0,28135.0,
75,15,DD_DF,tp,fix_y,fixed_intervals,4.0,82551.771,0.0687193870544433,0.1311553955078124,0.0,1.7486047602625978e-16,0.0,0.3802458516320954,0.6197541483679048,0.3827601214269486,0.6172398785730513,4.0,487.7,0.3686074493770822,0.6313925506229172,61940.0,15.0,28136.0,
75,15,DD_DF,tp,fix_y,fixed_intervals,5.0,95809.27,0.0667888879776,0.1180956363677978,0.0,7.550324656654087e-17,0.0,0.2791781197712858,0.7208218802287144,0.3387969246585539,0.6612030753414461,3.0,467.4,0.4785567746774383,0.5214432253225614,61940.0,15.0,28137.0,
75,15,DD_DF,tpc,fix_y,fixed_intervals,3.0,74417.99299999999,0.0621922016143798,0.1202021598815917,0.0,1.738624559507414e-16,0.0,0.4776442478802054,0.5223557521197948,0.4110248312925124,0.5889751687074875,5.0,509.4,0.2704061677207123,0.7295938322792874,52820.0,15.0,19135.0,
75,15,DD_DF,tpc,fix_y,fixed_intervals,4.0,82551.771,0.0585208177566527,0.1061589956283569,0.0,1.2177470689696063e-16,0.0,0.3802458516320954,0.6197541483679048,0.3827601214269486,0.6172398785730513,4.0,487.7,0.3686074493770824,0.6313925506229177,52820.0,15.0,19136.0,
75,15,DD_DF,tpc,fix_y,fixed_intervals,5.0,95809.27,0.0574400424957275,0.0984654426574706,0.0,9.217126427433747e-17,0.0,0.2791781197712858,0.7208218802287142,0.3387969246585539,0.6612030753414461,3.0,467.4,0.4785567746774383,0.5214432253225617,52820.0,15.0,19137.0,
