N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_DF,spc,total_sum,max_gap,1.0,70696.182,0.07209870815277095,0.3194234609603882,0.0,1.941378256966076e-17,0.0,0.8649820939580902,0.13501790604190986,0.7100352262793065,0.28996477372069357,15.0,441.3,0.0,1.0,34765.0,15.0,7515.0,
50,15,DD_DF,spc,total_sum,max_gap,2.0,52948.018000000004,0.08475422859191889,0.24728188514709473,0.0,9.708105913323202e-17,0.0,0.7101930870937656,0.2898069129062344,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,34765.0,15.0,7514.0,
50,15,DD_DF,spc,consecutive_sum,max_gap,1.0,70696.182,0.11046898365020749,0.3243434190750122,0.0,0.26658963318363,0.0,0.8649820939580902,0.13501790604190986,0.7100352262793065,0.28996477372069357,15.0,441.3,0.0,1.0,34796.0,15.0,7576.0,
50,15,DD_DF,spc,consecutive_sum,max_gap,2.0,52948.018000000004,0.12420744895935057,0.2744413375854492,0.0,0.029776633244034977,0.0,0.7101930870937656,0.2898069129062344,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,34796.0,15.0,7576.0,
50,15,DD_DF,tpc,total_sum,max_gap,1.0,70696.18199999999,0.05560781955718989,0.06397309303283688,0.0,3.0799673481913616e-16,0.0,0.8651101425641036,0.13488985743589674,0.7099316687417423,0.2900683312582578,15.0,441.4,0.0,1.0,35445.0,15.0,12765.0,
50,15,DD_DF,tpc,total_sum,max_gap,2.0,52948.018000000004,0.07575502395629878,0.17078218460083006,0.0,8.195229740318059e-17,0.0,0.7101930870937656,0.28980691290623434,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,35445.0,15.0,12764.0,
50,15,DD_DF,tpc,consecutive_sum,max_gap,1.0,70696.18199999999,0.11282019615173333,0.06609668731689448,0.0,0.2666353544427364,0.0,0.8651101425641036,0.13488985743589674,0.7099316687417423,0.2900683312582578,15.0,441.4,0.0,1.0,35476.0,15.0,12826.0,
50,15,DD_DF,tpc,consecutive_sum,max_gap,2.0,52948.018000000004,0.13054671287536618,0.19328396320343014,0.0,0.02977825128643514,0.0,0.7101930870937656,0.28980691290623434,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,35476.0,15.0,12826.0,
50,15,DD_DF,sp,total_sum,max_gap,1.0,70696.182,0.0790863990783691,0.29763197898864746,0.0,1.4350755564117301e-16,0.0,0.8650959779370926,0.1349040220629077,0.7099436276718507,0.2900563723281494,15.0,441.5,0.0,1.0,41565.0,15.0,13755.0,
50,15,DD_DF,sp,total_sum,max_gap,2.0,52948.018000000004,0.1002303838729858,0.5086716651916504,0.0,6.955760206169182e-17,0.0,0.7100640623853649,0.289935937614635,0.5448316094689537,0.4551683905310462,8.1,395.0,0.16575533599849282,0.8342446640015071,41565.0,15.0,13754.0,
50,15,DD_DF,sp,consecutive_sum,max_gap,1.0,70696.182,0.13112680912017818,0.3075782537460327,0.0,0.2665896331836299,0.0,0.8650959779370926,0.1349040220629077,0.7099436276718507,0.2900563723281494,15.0,441.5,0.0,1.0,41596.0,15.0,13816.0,
50,15,DD_DF,sp,consecutive_sum,max_gap,2.0,52948.018000000004,0.14393050670623778,0.5380552768707275,0.0,0.029776633244035032,0.0,0.7100640623853649,0.289935937614635,0.5448316094689537,0.4551683905310462,8.1,395.0,0.16575533599849282,0.8342446640015071,41596.0,15.0,13816.0,
50,15,DD_DF,tp,total_sum,max_gap,1.0,70696.18199999999,0.07588152885437008,0.1039418458938598,0.0,2.659213610037419e-16,0.0,0.8651360343602736,0.13486396563972672,0.7099106339931736,0.29008936600682655,15.0,441.5,0.0,1.0,41565.0,15.0,18765.0,
50,15,DD_DF,tp,total_sum,max_gap,2.0,52948.018000000004,0.10187921524047845,0.23312063217163087,0.0,8.268390798509646e-17,0.0,0.7101930870937657,0.2898069129062343,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,41565.0,15.0,18764.0,
50,15,DD_DF,tp,consecutive_sum,max_gap,1.0,70696.18199999999,0.1371930122375488,0.1058937549591064,0.0,0.2666353544427364,0.0,0.8651360343602736,0.13486396563972672,0.7099106339931736,0.29008936600682655,15.0,441.5,0.0,1.0,41596.0,15.0,18826.0,
50,15,DD_DF,mc,total_sum,max_gap,1.0,70696.18199999991,0.0512797355651855,0.0722227811813354,0.0,1.31134803278273e-15,0.0,0.8651360343602743,0.1348639656397269,0.7099106339931736,0.29008936600682655,15.0,441.5,0.0,1.0,27130.0,15.0,24831.0,
50,15,DD_DF,tp,consecutive_sum,max_gap,2.0,52948.018000000004,0.1477053880691528,0.2529707908630371,0.0,0.029778251286435083,0.0,0.7101930870937657,0.2898069129062343,0.54473185449144,0.45526814550856,8.1,395.3,0.16631522673753157,0.8336847732624684,41596.0,15.0,18826.0,
50,15,DD_DF,mc,total_sum,max_gap,2.0,52948.01799999998,0.08177957534790034,0.17819633483886715,0.0,5.778279453238261e-16,0.0,0.7101582316962236,0.2898417683037767,0.5447585439775273,0.45524145602247257,8.1,395.2,0.16629692139788488,0.8337030786021151,27130.0,15.0,24830.0,
50,15,DD_DF,mc,consecutive_sum,max_gap,1.0,70696.18199999991,0.1188688993453979,0.07508428096771234,0.0,0.2666353544427357,0.0,0.8651360343602743,0.1348639656397269,0.7099106339931736,0.29008936600682655,15.0,441.5,0.0,1.0,27161.0,15.0,24892.0,
50,15,DD_DF,mc,consecutive_sum,max_gap,2.0,52948.01799999998,0.13773658275604245,0.19121594429016112,0.0,0.029778251286434642,0.0,0.7101582316962236,0.2898417683037767,0.5447585439775273,0.45524145602247257,8.1,395.2,0.16629692139788488,0.8337030786021151,27161.0,15.0,24892.0,
50,15,DD_SF,spc,total_sum,max_gap,1.0,73995.69900000001,0.0683688163757324,0.31385552883148193,0.0,4.0913383765118454e-17,0.0,0.8658132928367201,0.13418670716327977,0.7097733671238994,0.2902266328761007,15.0,442.1,0.0,1.0,34765.0,15.0,7515.0,
