N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_proportion_warehouse,holding_costs_proportion_retailers,nb_variables,nb_binary_variables,nb_constraints,
50,15,DD_SF,owmr,not_sequential,all,0.0,54583.45100000002,0.00488321781158442,14.854896354675294,9.163781412275847e-05,0.9431548605211452,2679.3,0.6050796160850851,0.394920383914915,0.5359903068529284,0.46400969314707147,6.0,358.4000000000007,0.22761717962622807,0.7723828203737719,2346.0,765.0,1581.0,
50,15,SD_SF,ses,not_sequential,all,0.0,52128.295,0.09612112045288082,3.3247580766677856,0.0,0.07659076035720828,361.2,0.6280604271271781,0.37193957287282203,0.5135901389569664,0.4864098610430336,6.6,369.0,0.17496849662896125,0.825031503371038,6885.0,765.0,6900.0,
50,15,SD_DF,mc,not_sequential,all,0.0,50408.6149999999,0.0967195034027099,0.18634724617004392,0.0,1.98356620121721e-15,0.0,0.5926545447456324,0.40734545525436927,0.5063257347806053,0.4936742652193947,6.3,358.5,0.19835459626984303,0.8016454037301575,27130.0,15.0,24816.0,
50,15,SD_DF,sp,not_sequential,all,0.0,50408.615000000005,0.12038216590881345,0.3230889320373535,0.0,7.415610973873069e-17,0.0,0.5926250423128245,0.4073749576871754,0.5063494681731281,0.4936505318268719,6.3,358.6,0.19850510217046238,0.8014948978295378,41565.0,15.0,13740.0,
50,15,SD_DF,spc,not_sequential,all,0.0,50408.615,0.10427315235137935,0.3057626962661743,0.0,8.469534374730091e-17,0.0,0.5926131965761305,0.40738680342386935,0.506359381508977,0.49364061849102303,6.3,358.5,0.19842784731997848,0.8015721526800217,34765.0,15.0,7500.0,
50,15,SD_SF,es,not_sequential,all,0.0,52128.51299999999,0.008043098449706989,13.532475233078003,9.395810408198226e-05,0.6929008524749118,1545.2,0.6278300946963528,0.37216990530364746,0.5137709982711366,0.48622900172886335,6.6,368.99999999999983,0.17562411886023435,0.8243758811397648,2346.0,765.0,1596.0,
50,15,SD_DF,tp,not_sequential,all,0.0,50408.615000000005,0.11285758018493648,0.2366865873336792,0.0,1.1619829390891155e-16,0.0,0.5926250423128243,0.40737495768717513,0.5063494681731281,0.4936505318268719,6.3,358.6,0.19850510217046247,0.8014948978295383,41565.0,15.0,18750.0,
50,15,SD_DF,tpc,not_sequential,all,0.0,50408.615000000005,0.09240179061889646,0.1962668895721435,0.0,4.397556406747486e-17,0.0,0.5926250423128243,0.4073749576871754,0.5063494681731281,0.4936505318268719,6.3,358.6,0.19850510217046236,0.8014948978295378,35445.0,15.0,12750.0,
50,15,SD_DF,es,not_sequential,all,0.0,50408.61499999999,0.00890016555786127,3.0152337074279787,9.527300090969481e-05,0.6712643592640399,1302.3,0.5925954629344103,0.4074045370655893,0.5063740266033591,0.493625973396641,6.3,358.6,0.19860458415514645,0.8013954158448537,2346.0,765.0,1596.0,
50,15,SD_DF,ses,not_sequential,all,0.0,50408.615,0.09804913997650144,1.866085910797119,1.2551002586747059e-05,0.054142887686860985,99.3,0.5926250423128245,0.40737495768717513,0.5063494681731281,0.4936505318268719,6.3,358.6,0.1985051021704625,0.8014948978295383,6885.0,765.0,6900.0,
50,15,SD_SF,owmr,not_sequential,all,0.0,52128.35700000005,0.00496871471405025,21.126506781578065,7.769880434164978e-05,0.949309894095645,2988.3,0.6280282561137368,0.3719717438862632,0.5136144935839199,0.48638550641608014,6.6,369.1000000000007,0.17524168608973972,0.8247583139102602,2346.0,765.0,1581.0,
75,15,DD_DF,mc,not_sequential,all,0.0,69789.86699999997,0.21308593749999996,0.3602034091949463,0.0,5.065038090932241e-16,0.0,0.6170059105326828,0.3829940894673177,0.42961546229206365,0.5703845377079364,7.3,574.1,0.19892969584479614,0.8010703041552036,40680.0,15.0,37216.0,
50,15,SD_DF,owmr,not_sequential,all,0.0,50408.615000000034,0.00464737415313715,9.039424300193787,9.295805433847246e-05,0.9414719466361461,1460.8,0.5926131965761303,0.40738680342386946,0.5063593815089767,0.4936406184910232,6.3,358.6000000000005,0.19853381164834935,0.801466188351651,2346.0,765.0,1581.0,
75,15,DD_DF,sp,not_sequential,all,0.0,69789.867,0.19818675518035883,0.49328577518463135,0.0,1.2565704176785917e-16,0.0,0.6169294310387183,0.38307056896128167,0.42966756178046595,0.570332438219534,7.3,573.8,0.1986768831478438,0.8013231168521562,61940.0,15.0,20490.0,
75,15,DD_DF,tp,not_sequential,all,0.0,69789.867,0.2160206079483032,0.4099759101867676,0.0,6.429406666678119e-17,0.0,0.6170059105326826,0.3829940894673175,0.42961546229206365,0.5703845377079364,7.3,574.1,0.19892969584479617,0.8010703041552036,61940.0,15.0,28125.0,
75,15,DD_DF,spc,not_sequential,all,0.0,69789.867,0.16074969768524167,0.47726643085479736,0.0,8.231628256385106e-17,0.0,0.6170059105326826,0.3829940894673174,0.42961546229206365,0.5703845377079364,7.3,574.1,0.1989296958447962,0.801070304155204,52140.0,15.0,11250.0,
75,15,DD_DF,tpc,not_sequential,all,0.0,69789.867,0.17979288101196284,0.3521503686904907,0.0,1.467000317451486e-16,0.0,0.6170464815292395,0.38295351847076053,0.42958830035588536,0.5704116996441145,7.3,573.9,0.19871346583465113,0.8012865341653488,52820.0,15.0,19125.0,
75,15,DD_SF,mc,not_sequential,all,0.0,70656.8159999999,0.21823403835296626,0.3853402376174927,0.0,1.3992808021399053e-15,0.0,0.634605947137533,0.36539405286246807,0.4433274865824468,0.5566725134175532,7.3,571.4,0.18892158158445221,0.811078418415548,40680.0,15.0,37216.0,
75,15,DD_DF,ses,not_sequential,all,0.0,69789.86699999998,0.12918443679809566,3.89745090007782,5.328157021513746e-06,0.07362142593708179,217.9,0.6169703706016885,0.3830296293983117,0.42964057851327137,0.5703594214867286,7.3,573.9,0.1987395137848827,0.8012604862151169,10260.0,1140.0,10275.0,
75,15,DD_SF,sp,not_sequential,all,0.0,70656.81599999999,0.2026537179946899,0.516332459449768,0.0,1.6492046832760876e-16,0.0,0.6345529460411069,0.3654470539588928,0.44336308671219393,0.5566369132878062,7.3,571.4,0.18893704854585228,0.8110629514541481,61940.0,15.0,20490.0,
75,15,DD_DF,es,not_sequential,all,0.0,69790.29299999998,0.01680717468261713,12.128724002838135,9.161092583230458e-05,0.6965791810176698,1233.0,0.6168987395537792,0.3831012604462213,0.42968368343326124,0.5703163165667386,7.3,573.8000000000002,0.19903184109695257,0.8009681589030458,3496.0,1140.0,2371.0,
75,15,DD_SF,spc,not_sequential,all,0.0,70656.81599999999,0.17258932590484616,0.4709737300872803,0.0,4.03291189084556e-17,0.0,0.6345529460411069,0.3654470539588929,0.44336308671219393,0.5566369132878062,7.3,571.4,0.18893704854585225,0.8110629514541479,52140.0,15.0,11250.0,
75,15,DD_SF,tp,not_sequential,all,0.0,70656.81599999999,0.2185112714767456,0.4187112808227539,0.0,6.063938434525008e-17,0.0,0.6345529460411069,0.3654470539588931,0.44336308671219393,0.5566369132878062,7.3,571.4,0.1889370485458522,0.8110629514541474,61940.0,15.0,28125.0,
75,15,DD_SF,tpc,not_sequential,all,0.0,70656.81599999999,0.18456363677978513,0.3699354648590088,0.0,8.233530779511671e-17,0.0,0.6345529460411069,0.3654470539588929,0.44336308671219393,0.5566369132878062,7.3,571.4,0.1889370485458522,0.8110629514541479,52820.0,15.0,19125.0,
75,15,DD_SF,ses,not_sequential,all,0.0,70656.81599999999,0.13487620353698726,3.8910314559936525,1.5214844281821892e-06,0.07093279899805532,196.4,0.6345529460411069,0.3654470539588931,0.44336308671219393,0.5566369132878062,7.3,571.4,0.1889370485458522,0.8110629514541475,10260.0,1140.0,10275.0,
75,15,SD_SF,mc,not_sequential,all,0.0,69851.5869999999,0.24375610351562496,0.38561305999755857,0.0,1.5557899056128629e-15,0.0,0.6232265238760797,0.3767734761239218,0.4301033252740842,0.5698966747259159,7.2,569.5,0.19037541891973642,0.8096245810802631,40680.0,15.0,37216.0,
75,15,DD_SF,es,not_sequential,all,0.0,70656.81599999995,0.015433740615844672,13.486108708381654,8.858105983595155e-05,0.6973735990827625,1525.4,0.6345529460411075,0.36544705395889254,0.4433630867121939,0.5566369132878062,7.3,571.4000000000002,0.18893704854585197,0.811062951454147,3496.0,1140.0,2371.0,
75,15,SD_SF,sp,not_sequential,all,0.0,69851.58699999998,0.1970630645751953,0.5076923131942749,0.0,9.400062851929033e-17,0.0,0.6230726380644638,0.3769273619355362,0.43021054966540745,0.5697894503345926,7.2,569.3,0.19079279369491886,0.8092072063050809,61940.0,15.0,20490.0,
75,15,DD_SF,owmr,not_sequential,all,0.0,70656.81600000008,0.007583212852477988,22.303716492652892,9.74136608357206e-05,0.9552367193623035,1616.3,0.6345406869458271,0.36545931305417273,0.44337564415715464,0.5566243558428454,7.3,571.3000000000009,0.1885774993199013,0.8114225006800989,3496.0,1140.0,2356.0,
75,15,DD_DF,owmr,not_sequential,all,0.0,69790.03300000013,0.006974506378173791,37.572262573242185,8.652545622778009e-05,0.9560133594311864,2054.6,0.6168425144731368,0.38315748552686346,0.4297243096498772,0.5702756903501229,7.3,573.7999999999969,0.19858033433941333,0.8014196656605865,3496.0,1140.0,2356.0,
75,15,SD_SF,spc,not_sequential,all,0.0,69851.58699999998,0.17098777294158934,0.4811485052108765,0.0,4.123897467460738e-17,0.0,0.623154573000298,0.37684542699970214,0.43015696307915985,0.56984303692084,7.2,569.5,0.19068415475246994,0.8093158452475299,52140.0,15.0,11250.0,
75,15,SD_SF,tp,not_sequential,all,0.0,69851.58699999998,0.22579138278961178,0.4331395149230957,0.0,1.0522078894565949e-16,0.0,0.6231994828977442,0.3768005171022559,0.4301239834702125,0.5698760165297874,7.2,569.6,0.19068101995324124,0.8093189800467588,61940.0,15.0,28125.0,
75,15,SD_SF,tpc,not_sequential,all,0.0,69851.58699999998,0.19687781333923335,0.393193793296814,0.0,6.199846887591924e-17,0.0,0.6231518834183934,0.3768481165816066,0.43015894987637643,0.5698410501236235,7.2,569.5,0.19076393134719316,0.8092360686528066,52820.0,15.0,19125.0,
75,15,SD_SF,ses,not_sequential,all,0.0,69851.587,0.12883408069610594,3.998806095123291,1.2079046376729741e-05,0.07361830002983813,244.1,0.6231457585331412,0.3768542414668589,0.43016002746397614,0.5698399725360239,7.2,569.5,0.19079704500829375,0.8092029549917056,10260.0,1140.0,10275.0,
75,15,SD_DF,mc,not_sequential,all,0.0,70611.82599999988,0.2257769107818603,0.3713523387908936,0.0,1.6618333818366199e-15,0.0,0.6124909472187394,0.3875090527812622,0.4277882396966047,0.5722117603033954,7.1,567.9,0.19904100492438428,0.800958995075616,40680.0,15.0,37216.0,
75,15,SD_SF,es,not_sequential,all,0.0,69851.58699999997,0.01641807556152338,12.700130128860474,9.389489408505409e-05,0.6966013009098468,1382.5,0.6231200918371484,0.37687990816285166,0.43017716696097014,0.5698228330390298,7.2,569.5000000000003,0.19107151453091004,0.8089284854690894,3496.0,1140.0,2371.0,
75,15,SD_DF,sp,not_sequential,all,0.0,70611.826,0.20292184352874756,0.5048119306564331,0.0,1.0302430659337961e-16,0.0,0.6124909472187384,0.3875090527812617,0.4277882396966047,0.5722117603033954,7.1,567.9,0.19904100492438417,0.8009589950756159,61940.0,15.0,20490.0,
75,15,SD_DF,spc,not_sequential,all,0.0,70611.826,0.17352247238159174,0.49154770374298096,0.0,1.2578736713718746e-16,0.0,0.6124660137633604,0.3875339862366397,0.4278057094579122,0.5721942905420878,7.1,567.8,0.19889604074811412,0.8011039592518857,52140.0,15.0,11250.0,
75,15,SD_DF,tpc,not_sequential,all,0.0,70611.826,0.19228453636169432,0.37922418117523193,0.0,6.254857768949913e-17,0.0,0.6124413313752297,0.3875586686247703,0.42782297282975923,0.5721770271702408,7.1,567.6,0.1986896853932965,0.8013103146067035,52820.0,15.0,19125.0,
75,15,SD_DF,tp,not_sequential,all,0.0,70611.826,0.22695577144622797,0.4293833255767822,0.0,8.180582594988056e-17,0.0,0.6124413313752297,0.3875586686247705,0.42782297282975923,0.5721770271702408,7.1,567.6,0.1986896853932964,0.8013103146067035,61940.0,15.0,28125.0,
75,15,SD_DF,ses,not_sequential,all,0.0,70611.826,0.12976429462432856,4.292232775688172,0.0,0.07228694821388171,245.5,0.6124909472187384,0.3875090527812618,0.4277882396966047,0.5722117603033954,7.1,567.9,0.19904100492438415,0.8009589950756155,10260.0,1140.0,10275.0,
75,15,SD_SF,owmr,not_sequential,all,0.0,69851.74100000014,0.00675745010375973,26.81242401599884,8.655147405180837e-05,0.9565024711072507,1917.2,0.6231497074251378,0.37685029257486236,0.4301543903970222,0.5698456096029779,7.2,569.500000000003,0.19111968382903138,0.8088803161709684,3496.0,1140.0,2356.0,
100,15,DD_DF,mc,not_sequential,all,0.0,85828.66699999986,0.35494561195373536,0.6649089336395264,0.0,0.000102256495377244,0.3,0.6403186205706922,0.3596813794293093,0.3767752006385008,0.6232247993614991,8.0,787.4,0.16277425694058728,0.8372257430594132,54230.0,15.0,49616.0,
100,15,DD_DF,sp,not_sequential,all,0.0,85828.66699999999,0.27106056213378904,0.8321968078613281,0.0,0.00010225649537561239,0.3,0.6402955154822576,0.35970448451774245,0.37678939712847775,0.6232106028715223,8.0,787.4,0.16283029482375097,0.8371697051762492,82315.0,15.0,27240.0,
75,15,SD_DF,es,not_sequential,all,0.0,70611.93599999996,0.016726732254028272,17.011744213104247,9.108147252066801e-05,0.6906436798016405,1427.1,0.6124821034289841,0.3875178965710161,0.4277932629784217,0.5722067370215783,7.1,567.7000000000002,0.19858232365030992,0.8014176763496892,3496.0,1140.0,2371.0,
100,15,DD_DF,spc,not_sequential,all,0.0,85828.667,0.22011265754699702,0.6966771125793457,0.0,0.00010225649537554936,0.3,0.6402955154822576,0.35970448451774245,0.37678939712847775,0.6232106028715223,8.0,787.4,0.16283029482375097,0.8371697051762492,69515.0,15.0,15000.0,
75,15,SD_DF,owmr,not_sequential,all,0.0,70612.26600000005,0.00823440551757809,25.6577232837677,7.706175019550622e-05,0.9556083470688004,1714.5,0.612764706058078,0.387235293941922,0.4275880703883443,0.5724119296116555,7.099999999999956,567.8000000000006,0.19832353747406545,0.8016764625259347,3496.0,1140.0,2356.0,
100,15,DD_DF,tpc,not_sequential,all,0.0,85828.66699999999,0.2823000907897949,0.611304497718811,0.0,0.00010225649537556338,0.3,0.6402528644759664,0.35974713552403365,0.3768166750468395,0.6231833249531605,8.0,787.4,0.16288571448632652,0.837114285513674,70195.0,15.0,25500.0,
100,15,DD_DF,tp,not_sequential,all,0.0,85828.66699999999,0.32346889972686765,0.6757787227630615,0.0,0.00010225649537558368,0.3,0.6402297593875328,0.3597702406124672,0.3768308715368165,0.6231691284631835,8.0,787.4,0.16294175236949027,0.83705824763051,82315.0,15.0,37500.0,
